index	archiveId	displayName	designation	name	title	sourceUrl
147	opo2506	Bullseye	LEDA 1313424	LEDA 1313424	Galaxy LEDA 1313424	https://esahubble.org/images/opo2506/
233	potw2318a	Galaxy	JO175	Galaxy , Jellyfish galaxy	Ghostly galactic jellyfish	https://esahubble.org/images/potw2318a/
249	heic2212a	N/A	N/A	Webb and Hubble Capture Detailed Views of DART Debris (27 September 2022)	Webb and Hubble Capture Detailed Views of DART Debris (27 September 2022)	https://esahubble.org/images/heic2212a/
256	potw2147a	Galaxies	SGAS 0033+02	Galaxies , Stars	One Galaxy, Three Times	https://esahubble.org/images/potw2147a/
342	potw2227a	Galaxies	CGCG 396-2 / PGC 17532	Galaxies , Orion constellation	Hubble Spies a Galactic Gem	https://esahubble.org/images/potw2227a/
343	potw2132a	Galaxies	2M1310-1714	Galaxies , Quasar	Seeing Quintuple	https://esahubble.org/images/potw2132a/
415	potw2204a	Strike!	NGC 7764A	NGC 7764A	Strike!	https://esahubble.org/images/potw2204a/
458	potw2229a	Galaxy	SGAS J143845+145407	Galaxy	Lens Flair	https://esahubble.org/images/potw2229a/
483	heic0306a	Quasar	N/A	Quasar	Finding the ashes of the first stars [artist's impression]	https://esahubble.org/images/heic0306a/
597	potw1844a	Helping	SDSS J0915+3826	SDSS J0915+3826	Helping Hubble	https://esahubble.org/images/potw1844a/
657	potw1651a	Astro-pointillism	NGC 4707	NGC 4707	Astro-pointillism	https://esahubble.org/images/potw1651a/
787	opo0037a	Circinus	IRAS 14092-6506	Circinus , IRAS 14092-6506	Active galaxy Circinus	https://esahubble.org/images/opo0037a/
794	opo1353b	Himiko	Himiko	Himiko	Hubble view of Himiko	https://esahubble.org/images/opo1353b/
795	opo1353a	Himiko	Himiko	Himiko	View of a primordial gas bubble dubbed Himiko	https://esahubble.org/images/opo1353a/
829	opo1629a	Pisces	REP: Pisces A / Pisces B	Pisces	Dwarf galaxies in Pisces	https://esahubble.org/images/opo1629a/
835	opo1511f	Galaxy	REP: Galaxy	Galaxy	Hubble galaxy at redshift z = 2.0	https://esahubble.org/images/opo1511f/
836	opo1511c	Galaxy	REP: Galaxy	Galaxy	Hubble galaxy at redshift z = 0.26	https://esahubble.org/images/opo1511c/
837	opo1511e	Galaxy	REP: Galaxy	Galaxy	Hubble galaxy at redshift z = 1.3	https://esahubble.org/images/opo1511e/
838	opo1511d	Galaxy	REP: Galaxy	Galaxy	Hubble galaxy at redshift z = 0.65	https://esahubble.org/images/opo1511d/
839	opo1511g	Galaxy	REP: Galaxy	Galaxy	Hubble galaxy at redshift z = 2.4	https://esahubble.org/images/opo1511g/
840	opo1511h	Galaxy	REP: Galaxy	Galaxy	Hubble galaxy at redshift z = 2.8	https://esahubble.org/images/opo1511h/
865	opo0928e	Sagittarius	Sagittarius	Sagittarius	Galactic centre region in near-infrared from Hubble	https://esahubble.org/images/opo0928e/
866	opo0928b	Sagittarius	Sagittarius	Sagittarius	Hubble and other Great Observatories examine the galactic centre region	https://esahubble.org/images/opo0928b/
867	opo0928f	Sagittarius	Sagittarius	Sagittarius	Galactic centre region in X-rays from Chandra	https://esahubble.org/images/opo0928f/
